word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
réduit	6	0.874514	hard	3.013795	1.000000	0.000000	2.566385	0.166667
cuivre	6	0.873710	hard	2.932366	1.000000	0.000000	2.743366	0.166667
format	6	0.873677	hard	3.103489	1.000000	0.000000	2.368957	0.166667
longtemps	9	0.873315	hard	2.996710	1.000000	0.000000	2.906151	0.111111
évoluer	7	0.873202	hard	3.052166	1.000000	0.000000	2.610887	0.142857
social	6	0.866053	hard	2.801927	1.000000	0.000000	3.017682	0.166667
précis	6	0.865009	hard	3.091655	1.000000	0.000000	2.382348	0.166667
cinquième	9	0.863982	hard	3.373839	0.888889	0.111111	2.536174	0.111111
affiche	7	0.862537	hard	3.386477	0.857143	0.142857	2.466524	0.142857
variété	7	0.860855	hard	3.224739	0.857143	0.142857	2.817930	0.142857
avancé	6	0.859873	hard	3.201596	0.833333	0.166667	2.837202	0.166667
obtenir	7	0.859847	hard	2.832393	1.000000	0.000000	3.072421	0.142857
accroître	9	0.856659	hard	3.353219	0.777778	0.222222	3.039243	0.111111
céramique	9	0.855439	hard	3.150280	1.000000	0.000000	2.544414	0.111111
sûrement	8	0.855217	hard	3.310235	0.875000	0.125000	2.645217	0.125000
plaque	6	0.853024	hard	3.123858	1.000000	0.000000	2.294617	0.166667
métrage	7	0.852700	hard	3.098956	1.000000	0.000000	2.478965	0.142857
approuvé	8	0.852047	hard	3.251984	0.875000	0.125000	2.768080	0.125000
soldat	6	0.851443	hard	2.806065	1.000000	0.000000	2.987566	0.166667
optimal	7	0.849640	hard	2.949786	1.000000	0.000000	2.800888	0.142857
fenêtre	7	0.849528	hard	3.297240	0.857143	0.142857	2.642988	0.142857
héritage	8	0.849032	hard	3.159399	1.000000	0.000000	2.439196	0.125000
générique	9	0.848644	hard	3.325118	0.888889	0.111111	2.620646	0.111111
réagir	6	0.848400	hard	3.137000	0.833333	0.166667	2.961975	0.166667
formule	7	0.846669	hard	3.025551	1.000000	0.000000	2.630855	0.142857
dehors	6	0.846649	hard	2.953091	1.000000	0.000000	2.659009	0.166667
janvier	7	0.846436	hard	3.149133	1.000000	0.000000	2.360160	0.142857
incroyable	10	0.844748	hard	3.143043	1.000000	0.000000	2.605654	0.100000
gérant	6	0.844073	hard	3.145148	1.000000	0.000000	2.235138	0.166667
déficit	7	0.843372	hard	3.261401	0.857143	0.142857	2.712517	0.142857
julien	6	0.842818	hard	3.085439	1.000000	0.000000	2.363950	0.166667
broyeur	7	0.842114	hard	3.268895	0.857143	0.142857	2.694309	0.142857
dialogue	8	0.841103	hard	2.935302	1.000000	0.000000	2.918016	0.125000
énorme	6	0.840575	hard	2.923723	1.000000	0.000000	2.714497	0.166667
faible	6	0.840222	hard	3.157834	1.000000	0.000000	2.201830	0.166667
plafond	7	0.837046	hard	3.162923	1.000000	0.000000	2.316455	0.142857
publier	7	0.836625	hard	3.003268	1.000000	0.000000	2.665120	0.142857
mobile	6	0.836273	hard	3.052076	1.000000	0.000000	2.427501	0.166667
fierté	6	0.835908	hard	3.039771	1.000000	0.000000	2.453894	0.166667
fromage	7	0.832700	hard	3.182130	1.000000	0.000000	2.268170	0.142857
douche	6	0.829680	hard	3.119254	1.000000	0.000000	2.271032	0.166667
paquet	6	0.826150	hard	3.078713	1.000000	0.000000	2.354632	0.166667
archive	7	0.823999	hard	3.105355	1.000000	0.000000	2.423583	0.142857
sportif	7	0.823863	hard	3.026666	1.000000	0.000000	2.595532	0.142857
urbain	6	0.819864	hard	2.980338	1.000000	0.000000	2.560780	0.166667
archéologie	11	0.817600	hard	3.132141	0.909091	0.090909	3.023457	0.090909
change	6	0.815536	hard	3.221377	1.000000	0.000000	2.027227	0.166667
ticket	6	0.814866	hard	3.208871	0.833333	0.166667	2.756394	0.166667
génétique	9	0.814710	hard	3.327658	0.888889	0.111111	2.566160	0.111111
fatigue	7	0.814642	hard	3.072919	1.000000	0.000000	2.481050	0.142857
import	6	0.812082	hard	2.961904	1.000000	0.000000	2.589888	0.166667
comédie	7	0.809357	hard	3.061672	1.000000	0.000000	2.498035	0.142857
proche	6	0.807735	hard	3.110033	1.000000	0.000000	2.259561	0.166667
scénario	8	0.805166	hard	2.889960	1.000000	0.000000	2.965392	0.125000
journal	7	0.803354	hard	3.137267	1.000000	0.000000	2.324002	0.142857
évaluer	7	0.803127	hard	3.019801	1.000000	0.000000	2.580652	0.142857
exclusivité	11	0.802286	hard	3.188431	0.909091	0.090909	2.878231	0.090909
champion	8	0.801002	hard	3.181908	1.000000	0.000000	2.320702	0.125000
chauffer	8	0.799438	hard	3.328841	0.875000	0.125000	2.524088	0.125000
fiscal	6	0.798849	hard	3.064399	1.000000	0.000000	2.346583	0.166667
chiffre	7	0.798650	hard	3.395749	0.857143	0.142857	2.354125	0.142857
nombre	6	0.798452	hard	3.007458	1.000000	0.000000	2.470578	0.166667
publicité	9	0.796748	hard	3.216725	0.888889	0.111111	2.782946	0.111111
février	7	0.796521	hard	3.195588	0.857143	0.142857	2.788942	0.142857
paysage	7	0.795873	hard	3.284529	0.857143	0.142857	2.593433	0.142857
fantasy	7	0.795004	hard	3.271282	0.857143	0.142857	2.621161	0.142857
exclusion	9	0.793673	hard	3.015879	1.000000	0.000000	2.749381	0.111111
égalité	7	0.791955	hard	3.297128	0.857143	0.142857	2.560220	0.142857
régional	8	0.790577	hard	3.073272	1.000000	0.000000	2.543331	0.125000
habitude	8	0.790576	hard	3.118827	1.000000	0.000000	2.443671	0.125000
délicieux	9	0.789038	hard	3.218900	0.888889	0.111111	2.767072	0.111111
souhait	7	0.787666	hard	2.948038	1.000000	0.000000	2.715351	0.142857
détail	6	0.787610	hard	3.008031	1.000000	0.000000	2.453691	0.166667
dignité	7	0.786896	hard	3.169183	0.857143	0.142857	2.832829	0.142857
difficulté	10	0.785687	hard	3.306817	0.800000	0.200000	3.005544	0.100000
forcément	9	0.785148	hard	3.098429	1.000000	0.000000	2.556498	0.111111
valoir	6	0.782317	hard	2.961888	1.000000	0.000000	2.547004	0.166667
élégant	7	0.781636	hard	3.300846	0.857143	0.142857	2.537209	0.142857
benjamin	8	0.781341	hard	3.233778	0.875000	0.125000	2.705961	0.125000
cognac	6	0.780333	hard	3.165920	0.833333	0.166667	2.800565	0.166667
prêtre	6	0.778588	hard	3.368160	0.833333	0.166667	2.355613	0.166667
ouvrage	7	0.776683	hard	3.061653	1.000000	0.000000	2.450964	0.142857
réglage	7	0.776230	hard	3.258041	0.857143	0.142857	2.623058	0.142857
office	6	0.775791	hard	3.243382	0.833333	0.166667	2.624555	0.166667
musical	7	0.775014	hard	2.919564	1.000000	0.000000	2.759401	0.142857
parfois	7	0.771720	hard	3.014129	1.000000	0.000000	2.547776	0.142857
échéant	7	0.771491	hard	3.365271	0.857143	0.142857	2.381640	0.142857
optique	7	0.770642	hard	3.047622	1.000000	0.000000	2.472950	0.142857
éclair	6	0.770306	hard	3.006180	1.000000	0.000000	2.432791	0.166667
séparé	6	0.769942	hard	3.192061	0.833333	0.166667	2.728395	0.166667
vidange	7	0.769279	hard	3.090396	1.000000	0.000000	2.377408	0.142857
sublime	7	0.769043	hard	2.995479	1.000000	0.000000	2.584715	0.142857
tribunal	8	0.769040	hard	2.936888	1.000000	0.000000	2.810641	0.125000
groupe	6	0.768052	hard	3.029819	1.000000	0.000000	2.377827	0.166667
climat	6	0.767163	hard	2.940376	1.000000	0.000000	2.572215	0.166667
exécuter	8	0.766083	hard	3.095152	0.875000	0.125000	2.987229	0.125000
défaite	7	0.762765	hard	3.064238	1.000000	0.000000	2.425242	0.142857
refuge	6	0.760324	hard	3.038072	0.833333	0.166667	3.051404	0.166667
offert	6	0.759582	hard	3.142904	0.833333	0.166667	2.820997	0.166667
aérien	6	0.758714	hard	2.737781	1.000000	0.000000	3.003246	0.166667
fusion	6	0.758374	hard	2.992581	1.000000	0.000000	2.445336	0.166667
conflit	7	0.757176	hard	3.055780	1.000000	0.000000	2.435686	0.142857
plombier	8	0.756531	hard	3.055592	1.000000	0.000000	2.532919	0.125000
appelé	6	0.754578	hard	3.065570	0.833333	0.166667	2.982961	0.166667
décret	6	0.754388	hard	2.963834	1.000000	0.000000	2.502478	0.166667
manière	7	0.749040	hard	3.128408	1.000000	0.000000	2.265068	0.142857
adulte	6	0.747503	hard	2.723791	1.000000	0.000000	3.017685	0.166667
échanger	8	0.747019	hard	3.239726	1.000000	0.000000	2.116380	0.125000
emploi	6	0.745916	hard	2.892130	1.000000	0.000000	2.647127	0.166667
sombre	6	0.740162	hard	2.989723	1.000000	0.000000	2.425330	0.166667
pauvreté	8	0.737437	hard	3.043971	1.000000	0.000000	2.530811	0.125000
ajouter	7	0.736211	hard	2.998311	1.000000	0.000000	2.531180	0.142857
clément	7	0.733498	hard	2.997853	1.000000	0.000000	2.528272	0.142857
diable	6	0.733466	hard	2.973036	1.000000	0.000000	2.452180	0.166667
marque	6	0.733251	hard	3.081501	1.000000	0.000000	2.214585	0.166667
formidable	10	0.731997	hard	3.120471	1.000000	0.000000	2.492464	0.100000
boucle	6	0.730653	hard	3.058944	1.000000	0.000000	2.260185	0.166667
dizaine	7	0.730295	hard	3.120462	0.857143	0.142857	2.857803	0.142857
nucléaire	9	0.727703	hard	2.840891	1.000000	0.000000	3.037078	0.111111
période	7	0.725463	hard	2.964667	1.000000	0.000000	2.589286	0.142857
chrétien	8	0.722300	hard	3.034218	1.000000	0.000000	2.530323	0.125000
mécanique	9	0.721246	hard	3.151647	1.000000	0.000000	2.347934	0.111111
courbe	6	0.721139	hard	3.009989	1.000000	0.000000	2.353566	0.166667
bénéficier	10	0.721032	hard	3.253530	0.800000	0.200000	3.028894	0.100000
double	6	0.720907	hard	3.056985	1.000000	0.000000	2.250419	0.166667
faveur	6	0.719861	hard	3.106675	1.000000	0.000000	2.140206	0.166667
biographie	10	0.719397	hard	3.203496	0.900000	0.100000	2.714330	0.100000
studio	6	0.718971	hard	2.809543	1.000000	0.000000	2.788950	0.166667
basique	7	0.715551	hard	3.135644	1.000000	0.000000	2.200953	0.142857
érable	6	0.714426	hard	3.086217	1.000000	0.000000	2.177123	0.166667
jusque	6	0.713063	hard	3.434132	0.833333	0.166667	2.116810	0.166667
gluten	6	0.712925	hard	2.918393	1.000000	0.000000	2.542103	0.166667
casque	6	0.712253	hard	3.026494	1.000000	0.000000	2.304646	0.166667
médecin	7	0.711895	hard	3.040336	1.000000	0.000000	2.404184	0.142857
timbre	6	0.710386	hard	2.979988	1.000000	0.000000	2.403693	0.166667
lavabo	6	0.708954	hard	3.252604	0.833333	0.166667	2.508011	0.166667
string	6	0.708072	hard	2.922482	1.000000	0.000000	2.526161	0.166667
condamné	8	0.706756	hard	3.092861	0.875000	0.125000	2.906700	0.125000
adopter	7	0.706254	hard	2.775898	1.000000	0.000000	2.974553	0.142857
république	10	0.706154	hard	3.273925	0.900000	0.100000	2.541159	0.100000
niveau	6	0.705054	hard	2.817025	1.000000	0.000000	2.752515	0.166667
mélanger	8	0.705021	hard	3.078013	1.000000	0.000000	2.409599	0.125000
module	6	0.704414	hard	2.903637	1.000000	0.000000	2.562114	0.166667
déguster	8	0.701936	hard	3.040932	1.000000	0.000000	2.486272	0.125000
poivre	6	0.700168	hard	2.948129	1.000000	0.000000	2.458657	0.166667
manque	6	0.699342	hard	3.083551	1.000000	0.000000	2.161208	0.166667
intégré	7	0.699146	hard	3.266196	0.857143	0.142857	2.494073	0.142857
muscle	6	0.698442	hard	2.862969	1.000000	0.000000	2.642472	0.166667
chemin	6	0.697053	hard	3.089452	1.000000	0.000000	2.144997	0.166667
spécifique	10	0.696085	hard	3.265473	0.900000	0.100000	2.545131	0.100000
témoignage	10	0.695476	hard	3.151576	0.900000	0.100000	2.793423	0.100000
récolte	7	0.695185	hard	2.894135	1.000000	0.000000	2.699930	0.142857
véritable	9	0.694376	hard	3.108475	1.000000	0.000000	2.403637	0.111111
épisode	7	0.692835	hard	2.951222	1.000000	0.000000	2.571652	0.142857
gloire	6	0.692456	hard	2.893285	1.000000	0.000000	2.567519	0.166667
afficher	8	0.692113	hard	3.294198	0.875000	0.125000	2.445126	0.125000
définir	7	0.691483	hard	3.168543	0.857143	0.142857	2.696657	0.142857
sexuel	6	0.689857	hard	2.951497	0.833333	0.166667	3.139198	0.166667
compte	6	0.689797	hard	2.955846	1.000000	0.000000	2.426821	0.166667
guider	6	0.688082	hard	2.965906	1.000000	0.000000	2.402340	0.166667
démocrate	9	0.687698	hard	2.966652	1.000000	0.000000	2.704271	0.111111
mobilité	8	0.686969	hard	3.200082	0.875000	0.125000	2.643604	0.125000
automne	7	0.686488	hard	2.731272	1.000000	0.000000	3.043680	0.142857
téléphone	9	0.683852	hard	3.208944	0.888889	0.111111	2.637188	0.111111
normal	6	0.682728	hard	2.861271	1.000000	0.000000	2.623528	0.166667
